"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2009","69.00","69.00","69.00","69.00","0.06K","-10.10%"
"01/01/2009","76.75","76.75","76.75","76.75","0.09K","-6.74%"
"12/01/2008","82.30","82.30","82.30","82.30","0.05K","-6.37%"
"11/01/2008","87.90","87.90","87.90","87.90","0.23K","-16.29%"
"10/01/2008","105.00","105.00","105.00","105.00","0.31K","-29.05%"
"09/01/2008","148.00","148.00","148.00","148.00","0.05K","-23.12%"
"08/01/2008","192.50","192.50","192.50","192.50","0.01K","-0.65%"
"07/01/2008","193.75","193.75","193.75","193.75","","-11.12%"
"06/01/2008","218.00","218.00","218.00","218.00","","37.97%"
"05/01/2008","158.00","158.00","158.00","158.00","0.02K","11.27%"
"04/01/2008","142.00","142.00","142.00","142.00","","10.08%"
"03/01/2008","129.00","140.00","140.00","138.05","0.03K","-9.85%"
"02/01/2008","143.10","143.10","143.10","143.10","","2.58%"
"01/01/2008","139.50","139.50","139.50","139.50","","9.41%"
"12/01/2007","127.50","127.50","127.50","127.50","0.01K","-0.39%"
"11/01/2007","128.00","128.00","128.00","128.00","","1.59%"
"10/01/2007","126.00","126.00","126.00","126.00","0.01K","31.80%"
"09/01/2007","95.60","95.60","95.60","95.60","0.10K","10.46%"
"08/01/2007","86.55","86.55","86.55","86.55","","6.33%"
"07/01/2007","81.40","81.40","81.40","81.40","0.03K","3.96%"
"06/01/2007","78.30","78.30","78.30","78.30","","6.31%"
"05/01/2007","73.65","73.65","73.65","73.65","","3.01%"
"04/01/2007","71.50","71.50","71.50","71.50","","-0.69%"
"03/01/2007","72.00","72.00","72.00","72.00","","3.97%"
"02/01/2007","69.25","69.25","69.25","69.25","","2.59%"
"01/01/2007","67.50","67.50","67.50","67.50","","-0.74%"
"12/01/2006","68.00","68.00","68.00","68.00","","-1.09%"
"11/01/2006","68.75","68.75","68.75","68.75","","1.48%"
"10/01/2006","67.75","67.75","67.75","67.75","","3.44%"
"09/01/2006","65.50","65.50","65.50","65.50","","-4.31%"
"08/01/2006","68.45","68.60","70.90","68.60","0.02K","-0.80%"
